,Unnamed: 0,android_id,apptype,carrier,dev_height,dev_ppi,dev_width,label,lan,media_id,ntt,os,osv,package,sid,timestamp,version,fea_hash,location,fea1_hash,cus_type
0,0,316361,1199,46000.0,0.0,0.0,0.0,1,,104,6.0,android,9,18,1438873,1559892728241.7212,8,2135019403,0,2329670524,601
1,1,135939,893,0.0,0.0,0.0,0.0,1,,19,6.0,android,8.1,0,1185582,1559994020922.2288,4,2782306428,1,2864801071,1000
2,2,399254,821,0.0,760.0,0.0,360.0,1,,559,0.0,android,8.1.0,0,1555716,1559836697549.1086,0,1392806005,2,628911675,696
3,3,68983,1004,46000.0,2214.0,0.0,1080.0,0,,129,2.0,android,8.1.0,0,1093419,1560041977719.6848,0,3562553457,3,1283809327,753
4,4,288999,1076,46000.0,2280.0,0.0,1080.0,1,zh-CN,64,2.0,android,8.0.0,0,1400089,1559867301478.5527,5,2364522023,4,1510695983,582
5,5,184658,788,46000.0,2196.0,480.0,1080.0,1,zh-CN,194,6.0,Android,8.1.0,35,1253737,1559975650366.266,5,1655793887,5,1080320295,430
6,6,0,1106,46000.0,0.0,0.0,0.0,0,,39,0.0,android,9,123,1387136,1559844768395.789,0,369486452,6,4190764663,411
7,7,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1597216,1559782931781.201,0,3912031003,7,2627690535,411
8,8,646994,893,0.0,0.0,0.0,0.0,0,,19,6.0,android,8.1,0,1910989,1559548884868.1353,4,3307888762,8,2961728815,886
9,9,0,1001,46000.0,760.0,0.0,360.0,1,zh-CN,29,2.0,Android,8.1.0,4,1785622,1559645597342.792,0,1485855711,9,2678022183,411
10,10,599449,761,46003.0,1920.0,0.0,1080.0,0,,54,6.0,android,5.1,9,1842043,1559622278679.6643,0,2675936369,10,1054647220,335
11,11,0,1001,46000.0,851.0,0.0,393.0,1,zh-CN,29,2.0,Android,9.0.0,4,1935139,1559543081048.3037,0,2979808474,11,2627690535,411
12,12,574761,869,46000.0,2130.0,3.0,1080.0,0,zh-CN,669,6.0,Android,9.0.0,201,1806212,1559615634788.3674,9,3213977823,12,1369006127,848
13,13,126015,1004,46000.0,1920.0,480.0,1080.0,0,zh,139,6.0,android,7.1.1,24,1671763,1559675462945.5125,7,3180341175,13,876774520,848
